 recorded at 2023-02-08 21:12:10.333414.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 12500
"
4,1440,3,0.0,0.023808002471923828,0.28731799125671387,0.28731799125671387,False
4,2034,4,0.0,1.3446345329284668,1.5841681957244873,1.5841681957244873,False
4,29,2,0.0,0.027811053000000002,4.267651319503784,4.267651319503784,True
4,27,2,0.0,0.026344261000000008,4.289303302764893,4.289303302764893,True
4,2035,4,0.0,4.140791654586792,4.387288331985474,4.387288331985474,False
4,28,2,0.0,0.03809827100000002,5.448368310928345,5.448368310928345,True
5,31,2,4.92938953915486e-06,0.014297509000000042,0.2459564208984375,0.24596135028797667,False
5,30,2,0.0,0.014345792999999996,0.24570274353027344,0.24570274353027344,False
5,1441,3,0.0,0.02127814292907715,0.32490992546081543,0.32490992546081543,False
5,1442,3,0.0,0.030086278915405273,0.334169864654541,0.334169864654541,False
5,2036,4,0.0,1.0888333320617676,1.414703130722046,1.414703130722046,False
5,2037,4,0.0,3.7723941802978516,4.042845964431763,4.042845964431763,False
5,32,2,0.0,0.02887046600000001,4.2589476108551025,4.2589476108551025,True
5,34,2,0.0,0.030348168999999994,4.4663896560668945,4.4663896560668945,True
5,33,2,0.0,0.042679368999999995,5.408678293228149,5.408678293228149,True
6,36,2,4.92938953915486e-06,0.01400385500000001,0.2713286876678467,0.27133361705738585,False
6,1443,3,0.0,0.02300572395324707,0.26259446144104004,0.26259446144104004,False
6,35,2,0.0,0.016464020999999995,0.2799808979034424,0.2799808979034424,False
6,1444,3,0.0,0.022942781448364258,0.27370262145996094,0.27370262145996094,False
6,2038,4,0.0,1.6003527641296387,1.860663890838623,1.860663890838623,False
6,37,2,0.0,0.029374059000000008,3.853192090988159,3.853192090988159,True
6,2039,4,0.0,3.666926383972168,3.909144401550293,3.909144401550293,False
6,39,2,0.0,0.023533147000000004,4.602316617965698,4.602316617965698,True
6,38,2,0.0,0.052023027,5.063218355178833,5.063218355178833,True
7,40,2,0.0,0.01919074599999998,0.15807867050170898,0.15807867050170898,False
7,41,2,4.92938953915486e-06,0.01475031800000004,0.182603120803833,0.18260805019337217,False
7,1445,3,0.0,0.02578878402709961,0.20193266868591309,0.20193266868591309,False
7,1446,3,0.0,0.04349684715270996,0.2406330108642578,0.2406330108642578,False
7,2040,4,0.0,1.4310121536254883,1.626664400100708,1.626664400100708,False
7,2041,4,0.0,3.2600557804107666,3.4141218662261963,3.4141218662261963,False
7,42,2,0.0,0.049258015000000016,3.8418848514556885,3.8418848514556885,True
7,43,2,0.0,0.022737739999999992,4.478832721710205,4.478832721710205,True
8,1447,3,0.0,0.025029897689819336,0.14922142028808594,0.14922142028808594,False
8,45,2,4.92938953915486e-06,0.018567902999999997,0.16593170166015625,0.16593663104969542,False
8,44,2,0.0,0.019992169000000004,0.18779373168945312,0.18779373168945312,False
8,1448,3,0.0,0.04167938232421875,0.193756103515625,0.193756103515625,False
8,2042,4,0.0,1.5922825336456299,1.7301356792449951,1.7301356792449951,False
8,47,2,0.0,0.023988719000000006,2.9689176082611084,2.9689176082611084,True
8,2043,4,0.0,3.5613322257995605,3.6923654079437256,3.6923654079437256,False
8,46,2,0.0,0.039039222999999984,5.120953798294067,5.120953798294067,True
9,48,2,0.0,0.017826304000000015,0.21537303924560547,0.21537303924560547,False
9,49,2,4.92938953915486e-06,0.013809029000000028,0.22787189483642578,0.22787682422596495,False
9,1450,3,0.0,0.022220373153686523,0.27074241638183594,0.27074241638183594,False
9,1449,3,0.0,0.02658820152282715,0.2828660011291504,0.2828660011291504,False
9,2044,4,0.0,1.3673162460327148,1.6205692291259766,1.6205692291259766,False
9,2045,4,0.0,3.2585229873657227,3.4437029361724854,3.4437029361724854,False
9,51,2,0.0,0.044886364999999984,4.647869825363159,4.647869825363159,True
9,52,2,0.0,0.030253158000000002,5.279458999633789,5.279458999633789,True
9,50,2,0.0,0.03475727000000001,5.805136203765869,5.805136203765869,True
10,53,2,0.0,0.014409779000000011,0.20312809944152832,0.20312809944152832,False
