 recorded at 2023-05-18 06:52:39.154794.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-18 10:36:29.033271.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-18 12:35:18.189441.
time
4,40,2,0.0,0.04584523799999998,3.995328187942505,3.995328187942505,True
4,38,2,0.0,0.045155134999999985,5.2264404296875,5.2264404296875,True
4,42,2,0.0,0.04977901800000001,5.549614906311035,5.549614906311035,True
4,41,2,0.0,0.06221364200000001,6.280505895614624,6.280505895614624,True
5,2042,3,0.0,0.022876262664794922,0.17734742164611816,0.17734742164611816,False
5,43,2,0.0,0.025328306999999994,0.21137213706970215,0.21137213706970215,False
5,44,2,1.0027421918699975e-05,0.03346005699999999,0.228074312210083,0.2280843396320017,False
5,2908,4,0.0,1.9295423030853271,2.1394460201263428,2.1394460201263428,False
5,46,2,0.0,0.036437887,3.9400460720062256,3.9400460720062256,True
5,47,2,0.0,0.045577810999999996,4.051137447357178,4.051137447357178,True
5,45,2,0.0,0.04330644,5.19758415222168,5.19758415222168,True
5,49,2,0.0,0.04908030999999999,5.194284677505493,5.194284677505493,True
5,48,2,0.0,0.039349045,5.804528713226318,5.804528713226318,True
6,50,2,0.0,0.025076453000000054,0.07037758827209473,0.07037758827209473,False
6,51,2,1.0027421918699975e-05,0.02692189899999997,0.0708763599395752,0.0708863873614939,False
6,2045,3,0.0,0.024189472198486328,0.07872200012207031,0.07872200012207031,False
6,2910,4,0.0,1.7708706855773926,1.8149328231811523,1.8149328231811523,False
7,57,2,0.0,0.027550638000000016,0.07179641723632812,0.07179641723632812,False
7,2048,3,0.0,0.02258896827697754,0.06714892387390137,0.06714892387390137,False
7,58,2,1.0027421918699975e-05,0.02246636000000002,0.08183503150939941,0.08184505893131812,False
7,2912,4,0.0,1.7274494171142578,1.766158103942871,1.766158103942871,False
8,64,2,0.0,0.024457224000000055,0.07914543151855469,0.07914543151855469,False
8,65,2,1.0027421918699975e-05,0.021897284000000017,0.08114862442016602,0.08115865184208472,False
8,2051,3,0.0,0.024715423583984375,0.07275915145874023,0.07275915145874023,False
8,2914,4,0.0,1.7087428569793701,1.7571618556976318,1.7571618556976318,False
9,71,2,0.0,0.0250480460000001,0.06267786026000977,0.06267786026000977,False
9,72,2,1.0027421918699975e-05,0.022156116999999975,0.07731819152832031,0.07732821895023902,False
9,2054,3,0.0,0.021220684051513672,0.06191825866699219,0.06191825866699219,False
9,2916,4,0.0,1.6984021663665771,1.7475666999816895,1.7475666999816895,False
10,78,2,0.0,0.026302606999999978,0.06697702407836914,0.06697702407836914,False
10,79,2,1.0027421918699975e-05,0.022012199000000066,0.06818842887878418,0.06819845630070288,False
10,2057,3,0.0,0.021550655364990234,0.08752918243408203,0.08752918243408203,False
10,2918,4,0.0,1.7618658542633057,1.7953438758850098,1.7953438758850098,False
11,85,2,0.0,0.024557240000000036,0.0617067813873291,0.0617067813873291,False
11,86,2,1.0027421918699975e-05,0.022965803999999923,0.06595540046691895,0.06596542788883765,False
11,2060,3,0.0,0.021318912506103516,0.05518293380737305,0.05518293380737305,False
11,2920,4,0.0,1.7324292659759521,1.7660727500915527,1.7660727500915527,False
12,92,2,0.0,0.025055270000000074,0.06372189521789551,0.06372189521789551,False
12,2063,3,0.0,0.021539926528930664,0.06590151786804199,0.06590151786804199,False
12,93,2,1.0027421918699975e-05,0.022030499999999953,0.08146166801452637,0.08147169543644507,False
12,2922,4,0.0,1.6944222450256348,1.7282123565673828,1.7282123565673828,False
13,99,2,0.0,0.025452664999999985,0.06235218048095703,0.06235218048095703,False
13,100,2,1.0027421918699975e-05,0.0240481629999999,0.07508492469787598,0.07509495211979468,False
13,2066,3,0.0,0.022021055221557617,0.05724143981933594,0.05724143981933594,False
13,2924,4,0.0,1.692631483078003,1.7317314147949219,1.7317314147949219,False
14,107,2,1.0027421918699975e-05,0.02271447400000004,0.08488750457763672,0.08489753199955542,False
14,106,2,0.0,0.03169739100000002,0.10930919647216797,0.10930919647216797,False
14,2069,3,0.0,0.02214336395263672,0.1053762435913086,0.1053762435913086,False
14,2927,4,0.0,1.7134616374969482,1.7584781646728516,1.7584781646728516,False
15,113,2,0.0,0.023638265000000103,0.0784754753112793,0.0784754753112793,False
15,114,2,1.0027421918699975e-05,0.022054874000000058,0.08255243301391602,0.08256246043583472,False
15,2072,3,0.0,0.021333932876586914,0.09386849403381348,0.09386849403381348,False
15,2930,4,0.0,1.8005235195159912,1.8619017601013184,1.8619017601013184,False
16,2075,3,0.0,0.022005558013916016,0.1913762092590332,0.1913762092590332,False
16,120,2,0.0,0.024725930000000007,0.20957016944885254,0.20957016944885254,False
16,121,2,1.0027421918699975e-05,0.027590405999999956,0.22242259979248047,0.22243262721439916,False
16,2078,3,0.0,0.02174210548400879,3.717097282409668,3.717097282409668,True
16,2932,4,0.0,1.7622747421264648,5.286828517913818,5.286828517913818,True
17,127,2,0.0,0.024797729999999962,0.05480170249938965,0.05480170249938965,False
17,128,2,1.0027421918699975e-05,0.02238849899999995,0.07140922546386719,0.07141925288578589,False
17,2080,3,6.924010128525442e-06,0.022609233856201172,0.0850067138671875,0.08501363787731603,False
17,2079,3,0.0,0.021230459213256836,0.09028339385986328,0.09028339385986328,False
17,2934,4,0.0,1.7226529121398926,1.7797608375549316,1.7797608375549316,False
18,134,2,0.0,0.024169974999999955,0.07401418685913086,0.07401418685913086,False
18,135,2,1.0027421918699975e-05,0.02198792599999999,0.09594988822937012,0.09595991565128882,False
18,2083,3,6.924010128525442e-06,0.021788835525512695,0.07961702346801758,0.0796239474781461,False
18,2082,3,0.0,0.02223348617553711,0.08707594871520996,0.08707594871520996,False
18,2936,4,0.0,1.728233814239502,1.78702712059021,1.78702712059021,False
19,141,2,0.0,0.023933490999999973,0.06739020347595215,0.06739020347595215,False
19,142,2,1.0027421918699975e-05,0.021935261999999955,0.1133275032043457,0.11333753062626441,False
19,2085,3,0.0,0.024837255477905273,0.11374425888061523,0.11374425888061523,False
19,2086,3,6.924010128525442e-06,0.02224278450012207,0.10748481750488281,0.10749174151501134,False
19,2938,4,0.0,1.7351136207580566,1.809241771697998,1.809241771697998,False
20,149,2,1.0027421918699975e-05,0.023078005000000124,0.06823182106018066,0.06824184848209937,False
20,148,2,0.0,0.02884906499999995,0.08211922645568848,0.08211922645568848,False
20,2088,3,0.0,0.021901369094848633,0.06895112991333008,0.06895112991333008,False
20,2089,3,6.924010128525442e-06,0.021389245986938477,0.0794377326965332,0.07944465670666173,False
20,2940,4,0.0,1.8303601741790771,1.8877782821655273,1.8877782821655273,False
21,156,2,1.0027421918699975e-05,0.02272932900000013,0.09789204597473145,0.09790207339665015,False
21,155,2,0.0,0.025248055000000047,0.0967566967010498,0.0967566967010498,False
21,2091,3,0.0,0.02175283432006836,0.09442019462585449,0.09442019462585449,False
21,2092,3,6.924010128525442e-06,0.021236658096313477,0.11151313781738281,0.11152006182751134,False
21,2942,4,0.0,1.72265625,1.806736707687378,1.806736707687378,False
22,162,2,0.0,0.02741851800000017,0.08889031410217285,0.08889031410217285,False
22,163,2,1.0027421918699975e-05,0.02409290899999994,0.08714818954467773,0.08715821696659644,False
22,2094,3,0.0,0.022614240646362305,0.0754542350769043,0.0754542350769043,False
22,2095,3,6.924010128525442e-06,0.021453857421875,0.07351970672607422,0.07352663073620275,False
22,2944,4,0.0,1.756737232208252,1.7965855598449707,1.7965855598449707,False
23,170,2,1.0027421918699975e-05,0.02197053299999996,0.08631348609924316,0.08632351352116187,False
23,2098,3,6.924010128525442e-06,0.021660566329956055,0.07136201858520508,0.0713689425953336,False
23,169,2,0.0,0.03170799599999996,0.10936975479125977,0.10936975479125977,False
23,2097,3,0.0,0.021008729934692383,0.08954095840454102,0.08954095840454102,False
23,2946,4,0.0,1.7701239585876465,1.827192783355713,1.827192783355713,False
24,176,2,0.0,0.02588839200000015,0.07254290580749512,0.07254290580749512,False
24,177,2,1.0027421918699975e-05,0.023280479999999937,0.07469534873962402,0.07470537616154273,False
24,2101,3,6.924010128525442e-06,0.022053956985473633,0.06417083740234375,0.06417776141247228,False
24,2100,3,0.0,0.023335933685302734,0.07594943046569824,0.07594943046569824,False
24,2948,4,0.0,1.7997815608978271,1.8383817672729492,1.8383817672729492,False
25,183,2,0.0,0.02455921800000005,0.07607579231262207,0.07607579231262207,False
25,184,2,1.0027421918699975e-05,0.022314938000000062,0.0871129035949707,0.08712293101688941,False
25,2104,3,6.924010128525442e-06,0.021494388580322266,0.0718376636505127,0.07184458766064122,False
25,2103,3,0.0,0.023759126663208008,0.08524417877197266,0.08524417877197266,False
25,2950,4,0.0,1.8305556774139404,1.8793704509735107,1.8793704509735107,False
26,2107,3,6.924010128525442e-06,0.021124601364135742,0.0946195125579834,0.09462643656811193,False
26,2106,3,0.0,0.02868032455444336,0.10717535018920898,0.10717535018920898,False
26,191,2,1.0027421918699975e-05,0.02406557399999998,0.12687897682189941,0.1268890042438181,False
26,190,2,0.0,0.033227302999999875,0.1326444149017334,0.1326444149017334,False
26,2952,4,0.0,1.7407488822937012,1.812939167022705,1.812939167022705,False
27,197,2,0.0,0.026018874999999886,0.07525014877319336,0.07525014877319336,False
27,198,2,1.0027421918699975e-05,0.02288460400000014,0.07313871383666992,0.07314874125858863,False
27,2109,3,0.0,0.02297067642211914,0.06704139709472656,0.06704139709472656,False
27,2110,3,6.924010128525442e-06,0.021353960037231445,0.07082557678222656,0.07083250079235509,False
27,2954,4,0.0,1.7818830013275146,1.8151965141296387,1.8151965141296387,False
28,204,2,0.0,0.027846862999999944,0.07899141311645508,0.07899141311645508,False
28,205,2,1.0027421918699975e-05,0.023692400000000058,0.0812995433807373,0.08130957080265601,False
28,2113,3,6.924010128525442e-06,0.021924495697021484,0.06973552703857422,0.06974245104870275,False
28,2112,3,0.0,0.027016162872314453,0.08843684196472168,0.08843684196472168,False
28,2956,4,0.0,1.7776834964752197,1.821946620941162,1.821946620941162,False
29,211,2,0.0,0.02477347799999996,0.08316230773925781,0.08316230773925781,False
29,212,2,1.0027421918699975e-05,0.022482821999999958,0.08584809303283691,0.08585812045475562,False
29,2116,3,6.924010128525442e-06,0.021658897399902344,0.06231689453125,0.06232381854137853,False
29,2115,3,0.0,0.02388787269592285,0.07329416275024414,0.07329416275024414,False
29,2958,4,0.0,1.836437463760376,1.873704433441162,1.873704433441162,False
