 recorded at 2023-02-09 11:23:10.179486.
24,156,2,6.197246867688924e-06,0.03199819500000001,0.3388636112213135,0.33886980846818116,False
24,157,2,0.0,0.031165809999999988,5.864080190658569,5.864080190658569,True
25,1817,3,4.35725246073379e-06,0.021877288818359375,0.18542075157165527,0.185425108824116,False
25,162,2,6.197246867688924e-06,0.029756459999999985,0.23758411407470703,0.2375903113215747,False
25,163,2,0.0,0.033853878999999976,7.087565898895264,7.087565898895264,True
26,1820,3,4.35725246073379e-06,0.021390438079833984,0.2078237533569336,0.20782811060939432,False
26,168,2,6.197246867688924e-06,0.023720278999999955,0.22213292121887207,0.22213911846573975,False
26,169,2,0.0,0.032235399,7.071862459182739,7.071862459182739,True
27,1823,3,4.35725246073379e-06,0.021706581115722656,0.3622589111328125,0.36226326838527323,False
27,174,2,6.197246867688924e-06,0.027845934000000017,0.3993651866912842,0.39937138393815186,False
28,1826,3,4.35725246073379e-06,0.021857738494873047,0.5910475254058838,0.5910518826583445,False
28,180,2,6.197246867688924e-06,0.029782992000000008,0.6245808601379395,0.6245870573848071,False
29,1829,3,4.35725246073379e-06,0.02172398567199707,0.23958897590637207,0.2395933331588328,False
29,186,2,6.197246867688924e-06,0.032010425000000065,0.26036953926086426,0.26037573650773194,False
