 recorded at 2023-05-24 13:39:47.954593.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./output-origin.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000,
"
 recorded at 2023-05-24 14:49:20.047827.
time
ID
type
linkDelay
processing_delay
runtime
total_delay
cold_start
"      ""RequestFile"": ""./output-origin.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 0.5,
"
"      ""SlotNum"": 30,
"
4,38,2,0.0,0.024192675999999996,0.050889015197753906,0.050889015197753906,True,False
4,39,2,0.0,0.03682223100000001,0.05857658386230469,0.05857658386230469,True,False
4,40,2,0.0,0.039458824,0.06214332580566406,0.06214332580566406,True,False
4,41,2,0.0,0.042438455000000014,0.06895565986633301,0.06895565986633301,True,False
4,42,2,0.0,0.032409457,0.05939745903015137,0.05939745903015137,True,False
4,2900,4,3.1069720701860527e-06,1.7143526077270508,1.7665104866027832,1.7665135935748535,False,False
5,43,2,0.0,0.014586378000000011,0.03311944007873535,0.03311944007873535,False,False
5,44,2,1.0027421918699975e-05,0.021500295000000003,0.04696178436279297,0.046971811784711666,False,False
5,47,2,0.0,0.03657002200000001,0.06195354461669922,0.06195354461669922,True,False
5,48,2,0.0,0.04292917700000001,0.06555008888244629,0.06555008888244629,True,False
5,49,2,0.0,0.03211651600000001,0.06992077827453613,0.06992077827453613,True,False
5,2902,4,0.0,1.0176637172698975,1.0402214527130127,1.0402214527130127,True,False
6,50,2,0.0,0.014826844000000006,0.036797285079956055,0.036797285079956055,False,False
6,51,2,1.0027421918699975e-05,0.021116789000000025,0.047750234603881836,0.04776026202580053,False,False
6,2905,4,0.0,0.9657800197601318,0.9930250644683838,0.9930250644683838,True,False
7,57,2,0.0,0.015036306,0.03748130798339844,0.03748130798339844,False,False
7,58,2,1.0027421918699975e-05,0.021722201999999968,0.04729652404785156,0.04730655146977026,False,False
7,2908,4,0.0,0.9724416732788086,0.9924123287200928,0.9924123287200928,True,False
8,64,2,0.0,0.015684847999999973,0.035927772521972656,0.035927772521972656,False,False
