 recorded at 2023-01-30 10:42:57.109009.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
"      ""ReduFactor"": 10000
"
 recorded at 2023-01-30 10:46:12.993213.
"      ""RequestFile"": ""./prediction.csv"",
"
"      ""SchedulerName"": ""my-scheduler"",
"
"      ""LatencyPara"": 0.000003336,
"
"      ""MemCap"": 1000,
"
"      ""NodeNum"": 10,
"
"      ""Beta"": 1.5,
"
"      ""SlotNum"": 30,
"
4,43,0.0,0.029558222999999995,0.17245697975158691,0.17245697975158691
4,44,0.0,0.02368936199999999,0.21132779121398926,0.21132779121398926
4,49,0.0,0.015557668999999996,0.2116389274597168,0.2116389274597168
4,50,0.0,0.02371793900000002,0.2185218334197998,0.2185218334197998
4,47,0.0,0.029385213999999993,0.22095513343811035,0.22095513343811035
4,45,0.0,0.024749053999999993,0.22835493087768555,0.22835493087768555
4,48,0.0,0.03703488100000002,0.27910876274108887,0.27910876274108887
4,2346,3.643804680683175e-06,0.20116662979125977,0.4137406349182129,0.4137442787228936
4,2347,3.643804680683175e-06,0.20149660110473633,0.42847514152526855,0.42847878532994926
4,3516,3.1069720701860527e-06,3.9794058799743652,4.137834787368774,4.137837894340844
4,3517,0.0,4.028692007064819,4.197301626205444,4.197301626205444
4,3515,3.1069720701860527e-06,4.196217775344849,4.374981164932251,4.374984271904321
5,52,0.0,0.022894125000000043,0.1332402229309082,0.1332402229309082
5,55,0.0,0.02778301900000002,0.15242838859558105,0.15242838859558105
5,54,0.0,0.032058171999999996,0.18787360191345215,0.18787360191345215
5,51,0.0,0.032933773,0.20334887504577637,0.20334887504577637
5,53,0.0,0.025114132999999983,0.21752691268920898,0.21752691268920898
5,58,0.0,0.022762598000000023,0.19893860816955566,0.19893860816955566
5,57,0.0,0.013241231999999992,0.206298828125,0.206298828125
5,56,0.0,0.03327202800000001,0.28343677520751953,0.28343677520751953
5,2351,3.643804680683175e-06,0.20110297203063965,0.3634040355682373,0.363407679372918
5,2350,3.643804680683175e-06,0.20119929313659668,0.3634145259857178,0.3634181697903985
5,3520,0.0,3.971181869506836,4.125674724578857,4.125674724578857
5,3519,3.1069720701860527e-06,3.983905792236328,4.141588926315308,4.1415920332873775
